YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,DJF,MAM,JJA,SON,metANN
1880,-1.8,0.1,1.5,6.9,10.5,14.9,17.3,17.7,14.3,5.4,3.4,1.2,-0.3,6.3,16.6,7.7,7.59
1881,-4.4,-2.9,-1.0,3.8,11.1,14.9,16.3,14.7,12.0,6.0,5.1,2.6,-2.0,4.6,15.3,7.7,6.40
1882,2.1,2.5,5.0,6.9,11.0,14.6,17.5,16.2,14.3,8.7,2.5,-0.8,2.4,7.6,16.1,8.5,8.66
1883,-0.6,0.9,-1.6,5.0,11.3,16.1,17.6,15.5,13.1,8.6,5.0,1.3,-0.2,4.9,16.4,8.9,7.51
1884,2.6,2.6,2.7,4.8,10.9,14.4,17.5,16.7,14.9,8.7,1.3,1.3,2.2,6.1,16.2,8.3,8.20
1885,-0.4,1.3,2.1,7.0,9.2,14.9,17.3,14.1,11.6,6.4,2.5,1.0,0.7,6.1,15.4,6.8,7.28
1886,-0.4,-1.9,-0.9,6.9,11.4,14.5,15.9,16.3,13.7,9.1,5.6,0.4,-0.4,5.8,15.6,9.5,7.60
1887,-0.7,-0.1,1.2,5.7,10.2,15.4,17.7,15.6,12.6,6.4,3.4,0.3,-0.1,5.7,16.2,7.5,7.32
1888,-0.9,-2.1,-3.2,2.8,10.4,14.1,14.9,15.0,12.6,6.4,3.9,2.8,-0.9,3.3,14.7,7.6,6.18
1889,-0.5,-3.3,-0.6,5.3,14.2,19.4,16.5,15.2,10.9,8.8,4.8,0.6,-0.3,6.3,17.0,8.2,7.79
1890,1.9,-0.2,2.8,6.0,12.9,14.2,15.3,16.0,13.5,7.8,4.1,-2.2,0.8,7.2,15.2,8.5,7.91
1891,-3.5,0.3,1.0,4.9,10.9,14.5,17.6,15.0,13.7,10.3,3.2,2.6,-1.8,5.6,15.7,9.1,7.14
1892,-1.1,-0.3,0.5,5.9,11.0,14.6,15.7,16.2,13.3,7.8,4.2,-1.5,0.4,5.8,15.5,8.4,7.53
1893,-6.7,-2.7,2.4,6.9,10.9,15.6,17.9,16.9,11.8,9.0,2.6,2.8,-3.6,6.7,16.8,7.8,6.93
1894,-0.2,1.3,3.9,7.7,11.0,15.5,18.0,15.6,11.0,6.7,6.3,2.6,1.3,7.5,16.4,8.0,8.30
